"Date","Price","Open","High","Low","Vol.","Change %"
"12/12/2025","2,877.00","2,899.45","2,901.80","2,859.43","","-0.92%"
"12/11/2025","2,903.85","2,876.05","2,909.45","2,869.00","","1.12%"
"12/10/2025","2,871.80","2,866.45","2,872.20","2,850.95","","0.53%"
"12/09/2025","2,856.63","2,859.10","2,876.60","2,850.75","","-1.11%"
"12/08/2025","2,888.80","2,912.05","2,912.85","2,872.05","","-0.70%"
"12/05/2025","2,909.20","2,916.95","2,920.80","2,884.50","","0.26%"
"12/04/2025","2,901.75","2,905.70","2,912.05","2,880.65","","0.01%"
"12/03/2025","2,901.50","2,887.10","2,906.90","2,881.88","","1.36%"
"12/02/2025","2,862.45","2,895.10","2,907.45","2,861.35","","-1.04%"
"12/01/2025","2,892.55","2,878.30","2,898.75","2,868.65","","0.66%"
"11/28/2025","2,873.60","2,849.10","2,882.75","2,840.60","","1.42%"
"11/27/2025","2,833.25","2,867.20","2,867.65","2,826.10","","-1.34%"
"11/26/2025","2,871.65","2,814.35","2,872.15","2,813.60","","2.12%"
"11/25/2025","2,811.90","2,824.65","2,826.95","2,801.63","","-0.10%"
"11/24/2025","2,814.85","2,805.15","2,818.40","2,798.70","","0.33%"
"11/21/2025","2,805.70","2,791.05","2,809.10","2,775.60","","-0.25%"
"11/20/2025","2,812.70","2,811.15","2,830.80","2,803.45","","-0.02%"
"11/19/2025","2,813.25","2,803.45","2,818.10","2,785.45","","0.87%"
"11/18/2025","2,788.90","2,783.80","2,806.15","2,778.15","","-0.96%"
"11/17/2025","2,815.80","2,852.20","2,852.80","2,805.65","","-1.55%"
"11/14/2025","2,860.00","2,863.30","2,867.80","2,837.60","","-0.67%"
"11/13/2025","2,879.15","2,905.05","2,912.70","2,877.80","","-0.46%"
"11/12/2025","2,892.60","2,895.55","2,903.30","2,883.85","","0.49%"
"11/11/2025","2,878.55","2,880.95","2,884.85","2,863.65","","-0.15%"
"11/10/2025","2,882.80","2,882.65","2,896.55","2,864.65","","0.90%"
"11/07/2025","2,856.95","2,850.25","2,866.90","2,845.40","","0.45%"
"11/06/2025","2,844.15","2,877.00","2,884.10","2,833.95","","-0.67%"
"11/05/2025","2,863.20","2,850.50","2,874.80","2,845.70","","0.04%"
"11/04/2025","2,862.00","2,882.30","2,884.10","2,844.30","","-1.75%"
"11/03/2025","2,912.95","2,907.10","2,922.40","2,892.15","","0.71%"
"10/31/2025","2,892.55","2,860.70","2,894.75","2,849.20","","0.70%"
"10/30/2025","2,872.55","2,871.35","2,882.80","2,840.70","","-0.42%"
"10/29/2025","2,884.60","2,908.65","2,919.15","2,881.00","","-0.52%"
"10/28/2025","2,899.70","2,863.10","2,900.30","2,849.90","","0.82%"
"10/27/2025","2,876.15","2,887.45","2,888.60","2,865.05","","0.57%"
"10/24/2025","2,859.90","2,875.45","2,886.25","2,838.50","","-0.11%"
"10/23/2025","2,863.05","2,813.90","2,877.60","2,810.70","","1.90%"
"10/22/2025","2,809.80","2,795.40","2,822.80","2,793.58","","1.03%"
"10/21/2025","2,781.20","2,773.00","2,799.20","2,764.30","","0.27%"
"10/20/2025","2,773.75","2,772.25","2,786.23","2,762.20","","-0.03%"
"10/17/2025","2,774.55","2,779.35","2,784.35","2,743.95","","-0.88%"
"10/16/2025","2,799.20","2,763.75","2,800.50","2,754.00","","1.90%"
"10/15/2025","2,747.05","2,757.45","2,761.65","2,735.35","","0.03%"
"10/14/2025","2,746.10","2,746.35","2,756.10","2,716.85","","-0.86%"
"10/13/2025","2,769.80","2,753.45","2,773.80","2,746.35","","0.74%"
"10/10/2025","2,749.55","2,772.15","2,796.70","2,738.10","","-1.31%"
"10/09/2025","2,785.95","2,788.20","2,809.50","2,778.75","","0.97%"
"10/08/2025","2,759.05","2,749.70","2,764.55","2,741.20","","0.55%"
"10/07/2025","2,743.90","2,720.85","2,747.10","2,714.20","","0.87%"
"10/06/2025","2,720.25","2,706.95","2,731.60","2,697.10","","0.33%"
"10/03/2025","2,711.25","2,695.40","2,715.05","2,692.40","","0.81%"
"10/02/2025","2,689.35","2,699.80","2,714.90","2,679.98","","-0.29%"
"10/01/2025","2,697.25","2,691.65","2,697.40","2,681.75","","0.57%"
"09/30/2025","2,681.95","2,674.15","2,687.55","2,663.70","","0.10%"
