"Date","Price","Open","High","Low","Vol.","Change %"
"12/12/2025","164.50","164.50","164.50","164.50","","0.24%"
"12/11/2025","164.10","164.10","164.10","164.10","","0.00%"
"12/10/2025","164.10","164.10","164.10","164.10","","-0.15%"
"12/09/2025","164.35","164.35","164.35","164.35","","-0.42%"
"12/08/2025","165.05","165.05","165.05","165.05","","0.95%"
"12/05/2025","163.50","163.50","163.50","163.50","","-0.30%"
"12/04/2025","164.00","164.00","164.00","164.00","","-0.52%"
"12/03/2025","164.85","164.85","164.85","164.85","","0.00%"
"12/02/2025","164.85","164.85","164.85","164.85","","0.67%"
"12/01/2025","163.75","163.75","163.75","163.75","","0.03%"
"11/28/2025","163.70","163.70","163.70","163.70","","-1.00%"
"11/27/2025","165.35","165.35","165.35","165.35","","0.36%"
"11/26/2025","164.75","164.75","164.75","164.75","","-0.27%"
"11/25/2025","165.20","165.20","165.20","165.20","","-0.57%"
"11/24/2025","166.15","166.15","166.15","166.15","","1.93%"
"11/21/2025","163.00","163.00","163.00","163.00","","0.00%"
"11/20/2025","163.00","163.00","163.00","163.00","","-0.61%"
"11/19/2025","164.00","166.00","166.00","166.00","0.01K","-0.61%"
"11/18/2025","165.00","165.00","165.00","165.00","","0.49%"
"11/17/2025","164.20","164.20","164.20","164.20","","0.74%"
"11/14/2025","163.00","163.00","163.00","163.00","","-0.55%"
"11/13/2025","163.90","163.90","163.90","163.90","","-0.43%"
"11/12/2025","164.60","164.60","164.60","164.60","","0.46%"
"11/11/2025","163.85","163.85","163.85","163.85","","-1.15%"
"11/10/2025","165.75","165.00","165.00","165.00","0.02K","1.07%"
"11/07/2025","164.00","164.25","164.25","163.85","0.05K","-1.18%"
"11/06/2025","165.95","165.95","165.95","165.95","","-0.03%"
"11/05/2025","166.00","165.00","165.00","165.00","0.00K","0.61%"
"11/04/2025","165.00","164.40","165.00","164.40","0.02K","0.36%"
"11/03/2025","164.40","163.05","163.20","163.00","0.03K","0.67%"
"10/31/2025","163.30","161.75","163.35","161.70","0.02K","1.11%"
"10/30/2025","161.50","161.50","161.50","161.50","","0.03%"
"10/29/2025","161.45","161.45","161.45","161.45","","-1.58%"
"10/28/2025","164.05","164.05","164.05","164.05","","-0.33%"
"10/27/2025","164.60","164.60","164.60","164.60","","2.81%"
"10/24/2025","160.10","159.00","160.00","159.00","0.09K","0.53%"
"10/23/2025","159.25","160.10","161.25","159.25","0.09K","-2.03%"
"10/22/2025","162.55","162.55","163.00","162.05","0.12K","-0.28%"
"10/21/2025","163.00","163.80","163.80","163.00","0.11K","-0.82%"
"10/20/2025","164.35","165.20","165.20","164.15","0.17K","-0.48%"
"10/17/2025","165.15","163.95","165.50","163.95","0.27K","1.01%"
"10/16/2025","163.50","163.75","164.00","161.20","0.62K","-0.70%"
"10/15/2025","164.65","167.45","167.45","164.00","0.43K","-1.14%"
"10/14/2025","166.55","166.00","167.25","166.00","0.16K","0.42%"
"10/13/2025","165.85","166.00","167.95","165.45","0.29K","0.48%"
"10/10/2025","165.05","167.35","167.50","164.95","0.22K","-1.02%"
"10/09/2025","166.75","166.60","167.00","166.60","0.17K","0.72%"
"10/08/2025","165.55","164.45","165.80","164.40","0.09K","0.36%"
"10/07/2025","164.95","165.05","165.50","164.95","0.04K","-0.18%"
"10/06/2025","165.25","165.25","166.25","165.25","0.14K","-0.36%"
"10/03/2025","165.85","164.00","166.20","164.00","0.05K","0.42%"
"10/02/2025","165.15","164.50","165.35","164.50","0.03K","0.36%"
"10/01/2025","164.55","163.20","164.90","162.50","0.17K","0.30%"
"09/30/2025","164.05","166.75","166.75","164.05","0.08K","-1.47%"
"09/29/2025","166.50","166.35","166.50","166.30","0.03K","-0.24%"
"09/26/2025","166.90","166.95","167.30","166.35","0.03K","-0.18%"
"09/25/2025","167.20","167.45","167.45","166.30","0.14K","0.39%"
"09/24/2025","166.55","166.45","167.00","165.80","0.10K","0.48%"
"09/23/2025","165.75","165.40","166.20","164.95","0.17K","0.03%"
"09/22/2025","165.70","166.05","166.50","164.80","0.05K","-0.54%"
"09/19/2025","166.60","167.25","167.25","166.40","0.13K","-0.63%"
"09/18/2025","167.65","166.70","169.00","166.70","0.09K","0.18%"
"09/17/2025","167.35","167.75","168.25","167.45","0.25K","-0.09%"
"09/16/2025","167.50","168.30","168.30","165.90","0.09K","0.36%"
"09/15/2025","166.90","166.15","167.25","166.05","0.24K","0.39%"
"09/12/2025","166.25","165.85","166.75","165.80","0.17K","-0.18%"
"09/11/2025","166.55","165.50","166.65","165.00","0.10K","0.36%"
"09/10/2025","165.95","166.00","166.40","165.00","0.68K","0.06%"
"09/09/2025","165.85","167.00","167.00","165.55","0.14K","-0.69%"
"09/08/2025","167.00","166.20","167.00","165.80","0.07K","0.54%"
"09/05/2025","166.10","165.15","166.50","165.15","0.05K","0.12%"
"09/04/2025","165.90","166.80","167.15","165.05","0.30K","-0.63%"
"09/03/2025","166.95","168.20","168.25","166.75","0.14K","-0.54%"
"09/02/2025","167.85","168.80","168.80","167.60","0.02K","-0.27%"
"09/01/2025","168.30","169.00","169.45","168.00","0.13K","-0.71%"
"08/29/2025","169.50","169.00","169.60","168.50","0.18K","0.65%"
"08/28/2025","168.40","168.95","169.15","167.15","0.17K","-0.59%"
"08/27/2025","169.40","168.50","169.15","168.25","0.14K","0.39%"
"08/26/2025","168.75","168.60","169.40","167.55","0.26K","0.42%"
"08/22/2025","168.05","169.10","170.05","167.90","0.28K","-0.74%"
"08/21/2025","169.30","168.50","169.75","168.50","0.54K","1.29%"
"08/20/2025","167.15","166.95","168.05","166.30","0.80K","0.36%"
"08/19/2025","166.55","167.95","167.95","166.20","1.35K","-0.42%"
"08/18/2025","167.25","167.00","168.40","166.75","0.62K","0.15%"
"08/15/2025","167.00","170.05","170.05","167.00","1.07K","-1.42%"
"08/14/2025","169.40","168.95","170.95","168.25","0.19K","0.24%"
"08/13/2025","169.00","169.30","170.05","168.10","0.18K","-0.18%"
"08/12/2025","169.30","171.35","171.80","169.05","0.25K","-1.25%"
"08/11/2025","171.45","172.55","172.75","171.05","0.12K","-0.55%"
"08/08/2025","172.40","173.00","173.00","172.25","0.25K","-0.40%"
"08/07/2025","173.10","172.45","174.05","172.00","0.25K","0.38%"
"08/06/2025","172.45","173.05","173.45","171.95","0.18K","-0.09%"
"08/05/2025","172.60","174.25","174.75","172.50","0.31K","-1.15%"
"08/04/2025","174.60","174.15","175.50","174.10","0.13K","0.03%"
"08/01/2025","174.55","175.20","175.50","173.75","0.29K","-0.06%"
"07/31/2025","174.65","176.90","177.75","174.10","0.40K","-1.30%"
"07/30/2025","176.95","176.40","177.55","175.95","0.22K","0.57%"
"07/29/2025","175.95","178.45","178.45","175.60","0.15K","-1.68%"
"07/28/2025","178.95","178.00","179.80","177.85","0.19K","0.85%"
"07/25/2025","177.45","176.75","178.00","176.75","0.15K","-0.14%"
"07/24/2025","177.70","178.95","179.40","177.60","0.13K","-0.59%"
"07/23/2025","178.75","180.00","180.00","177.85","0.17K","-0.69%"
"07/22/2025","180.00","177.95","180.00","177.50","0.27K","0.56%"
"07/21/2025","179.00","179.50","180.30","178.50","0.23K","-0.53%"
"07/18/2025","179.95","178.10","181.00","177.45","0.34K","0.95%"
"07/17/2025","178.25","176.05","178.65","176.05","0.24K","0.59%"
"07/16/2025","177.20","179.15","179.15","177.00","0.17K","-0.67%"
"07/15/2025","178.40","178.85","179.95","177.85","0.14K","0.17%"
"07/14/2025","178.10","178.25","179.05","177.10","0.14K","0.06%"
"07/11/2025","178.00","176.95","178.10","176.65","0.21K","0.56%"
"07/10/2025","177.00","175.00","177.00","175.00","0.26K","0.85%"
"07/09/2025","175.50","177.50","177.50","175.25","0.09K","-0.54%"
"07/08/2025","176.45","174.50","176.50","174.50","0.13K","26.94%"
"07/07/2025","139.00","139.00","139.00","139.00","","0.00%"
"07/04/2025","139.00","139.00","139.00","139.00","","-1.03%"
"07/03/2025","140.45","140.45","140.45","140.45","","0.32%"
"07/02/2025","140.00","140.00","140.00","140.00","","2.56%"
"07/01/2025","136.50","136.50","136.50","136.50","","-0.07%"
"06/30/2025","136.60","136.60","136.60","136.60","","-1.73%"
"06/27/2025","139.00","139.00","139.00","139.00","","0.62%"
"06/26/2025","138.15","138.15","138.15","138.15","","-0.75%"
"06/25/2025","139.20","139.20","139.20","139.20","","-1.90%"
"06/24/2025","141.90","141.90","141.90","141.90","","-1.70%"
"06/23/2025","144.35","144.35","144.35","144.35","","-1.37%"
"06/20/2025","146.35","145.00","145.00","145.00","0.00K","-10.38%"
"06/19/2025","163.30","163.30","163.30","163.30","","0.00%"
"06/18/2025","163.30","163.30","163.30","163.30","","2.48%"
"06/17/2025","159.35","159.35","159.35","159.35","","1.79%"
"06/16/2025","156.55","156.55","156.55","156.55","","-1.17%"
"06/13/2025","158.40","158.40","158.40","158.40","","1.83%"
"06/12/2025","155.55","155.55","155.55","155.55","","-0.19%"
"06/11/2025","155.85","155.85","155.85","155.85","","0.00%"
"06/10/2025","155.85","155.85","155.85","155.85","","-2.75%"
"06/09/2025","160.25","160.25","160.25","160.25","","0.75%"
"06/06/2025","159.05","159.05","159.05","159.05","","0.44%"
"06/05/2025","158.35","158.35","158.35","158.35","","-0.09%"
"06/04/2025","158.50","158.50","158.50","158.50","","-0.19%"
"06/03/2025","158.80","158.80","158.80","158.80","","-0.06%"
"06/02/2025","158.90","158.90","158.90","158.90","","1.08%"
"05/30/2025","157.20","157.20","157.20","157.20","","-0.22%"
"05/29/2025","157.55","157.55","157.55","157.55","","-0.72%"
"05/28/2025","158.70","158.70","158.70","158.70","","-0.09%"
"05/27/2025","158.85","158.85","158.85","158.85","","0.13%"
"05/23/2025","158.65","158.65","158.65","158.65","","0.00%"
"05/22/2025","158.65","158.65","158.65","158.65","","-0.78%"
"05/21/2025","159.90","159.90","159.90","159.90","","1.40%"
"05/20/2025","157.70","157.70","157.70","157.70","","2.27%"
"05/19/2025","154.20","154.20","154.20","154.20","","-0.52%"
"05/16/2025","155.00","155.00","155.00","155.00","0.10K","-0.64%"
"05/15/2025","156.00","156.00","156.00","156.00","","-0.19%"
"05/14/2025","156.30","156.30","156.30","156.30","","-0.16%"
"05/13/2025","156.55","156.55","156.55","156.55","","-0.45%"
"05/12/2025","157.25","157.25","157.25","157.25","","0.83%"
"05/09/2025","155.95","155.95","155.95","155.95","","-2.41%"
"05/08/2025","159.80","159.80","159.80","159.80","","-1.39%"
"05/07/2025","162.05","162.05","162.05","162.05","","0.65%"
"05/06/2025","161.00","161.00","161.00","161.00","0.00K","0.50%"
"05/02/2025","160.20","160.20","160.20","160.20","","0.12%"
"05/01/2025","160.00","160.00","160.00","160.00","0.17K","-1.02%"
"04/30/2025","161.65","162.00","162.00","162.00","0.01K","0.22%"
"04/29/2025","161.30","162.00","162.00","162.00","0.06K","0.19%"
"04/28/2025","161.00","162.55","162.55","160.00","0.11K","-2.37%"
"04/25/2025","164.90","163.00","167.00","163.00","0.08K","1.10%"
"04/24/2025","163.10","165.50","167.00","164.00","0.06K","-0.49%"
"04/23/2025","163.90","167.50","167.50","163.60","0.23K","-2.18%"
"04/22/2025","167.55","166.60","168.00","166.00","0.13K","-3.12%"
"04/17/2025","172.95","169.25","173.00","168.75","0.12K","1.65%"
"04/16/2025","170.15","167.05","170.85","167.05","0.08K","0.35%"
"04/15/2025","169.55","170.05","170.20","169.00","0.11K","-1.97%"
"04/14/2025","172.95","170.75","173.45","168.60","0.08K","-0.35%"
"04/11/2025","173.55","172.60","174.00","170.00","0.32K","2.69%"
"04/10/2025","169.00","173.35","173.50","168.80","0.34K","-2.03%"
"04/09/2025","172.50","172.40","173.85","171.50","0.58K","-0.17%"
"04/08/2025","172.80","172.00","175.00","169.50","0.67K","0.91%"
"04/07/2025","171.25","169.65","171.30","169.10","0.27K","1.54%"
"04/04/2025","168.65","167.45","168.80","165.50","0.21K","0.60%"
"04/03/2025","167.65","166.55","167.80","164.45","0.17K","-0.18%"
"04/02/2025","167.95","165.55","168.00","164.55","0.22K","-0.94%"
"03/06/2025","169.55","169.55","169.55","169.55","","0.86%"
"03/05/2025","168.10","168.10","168.10","168.10","","0.09%"
"03/04/2025","167.95","167.95","167.95","167.95","","-0.77%"
"03/03/2025","169.25","169.25","169.25","169.25","","-1.60%"
"02/28/2025","172.00","172.00","172.00","172.00","","0.58%"
"02/27/2025","171.00","171.00","171.00","171.00","","-1.67%"
"02/26/2025","173.90","173.90","173.90","173.90","","-0.91%"
"02/25/2025","175.50","175.50","175.50","175.50","","0.57%"
"02/24/2025","174.50","174.50","174.50","174.50","","-1.99%"
"02/21/2025","178.05","178.05","178.05","178.05","","-0.81%"
"02/20/2025","179.50","179.50","179.50","179.50","","-0.11%"
"02/19/2025","179.70","179.70","179.70","179.70","","-0.96%"
"02/18/2025","181.45","181.45","181.45","181.45","","0.00%"
"02/17/2025","181.45","181.45","181.45","181.45","","-0.66%"
"02/14/2025","182.65","182.65","182.65","182.65","","0.14%"
"02/13/2025","182.40","182.40","182.40","182.40","","-0.73%"
"02/12/2025","183.75","183.75","183.75","183.75","","-0.14%"
"02/11/2025","184.00","184.00","184.00","184.00","","0.38%"
"02/10/2025","183.30","183.30","183.30","183.30","","-0.19%"
"02/07/2025","183.65","183.65","183.65","183.65","","-0.14%"
"02/06/2025","183.90","183.90","183.90","183.90","","1.71%"
"02/05/2025","180.80","180.80","180.80","180.80","","-1.20%"
"02/04/2025","183.00","183.00","183.00","183.00","","-0.25%"
"02/03/2025","183.45","183.45","183.45","183.45","","0.05%"
"01/31/2025","183.35","183.35","183.35","183.35","","-1.21%"
"01/30/2025","185.60","185.60","185.60","185.60","","0.60%"
"01/29/2025","184.50","184.50","184.50","184.50","","1.12%"
"01/28/2025","182.45","182.45","182.45","182.45","","0.39%"
"01/27/2025","181.75","181.75","181.75","181.75","","-1.28%"
"01/24/2025","184.10","184.10","184.10","184.10","","1.99%"
"01/23/2025","180.50","180.50","180.50","180.50","","0.00%"
"01/22/2025","180.50","180.50","180.50","180.50","","-0.08%"
"01/21/2025","180.65","180.65","180.65","180.65","","1.37%"
"01/20/2025","178.20","178.20","178.20","178.20","","-1.11%"
"01/17/2025","180.20","180.20","180.20","180.20","","1.01%"
"01/16/2025","178.40","178.40","178.40","178.40","","-1.03%"
"01/15/2025","180.25","180.25","180.25","180.25","","-1.18%"
"01/14/2025","182.40","182.40","182.40","182.40","","0.05%"
"01/13/2025","182.30","182.30","182.30","182.30","","0.61%"
"01/10/2025","181.20","181.20","181.20","181.20","","2.98%"
"01/09/2025","175.95","175.95","175.95","175.95","","-0.40%"
"01/08/2025","176.65","176.65","176.65","176.65","","-0.17%"
"01/07/2025","176.95","176.95","176.95","176.95","","0.60%"
"01/06/2025","175.90","175.90","175.90","175.90","","-0.96%"
"01/03/2025","177.60","177.60","177.60","177.60","","-1.69%"
"01/02/2025","180.65","180.65","180.65","180.65","","0.70%"
"12/31/2024","179.40","179.40","179.40","179.40","","0.22%"
"12/30/2024","179.00","179.00","179.00","179.00","","0.36%"
"12/27/2024","178.35","178.35","178.35","178.35","","1.19%"
"12/24/2024","176.25","176.25","176.25","176.25","","-0.34%"
"12/23/2024","176.85","166.00","166.00","166.00","0.00K","1.64%"
"12/20/2024","174.00","174.00","174.00","174.00","","-3.17%"
"12/19/2024","179.70","179.70","179.70","179.70","","-0.94%"
"12/18/2024","181.40","181.40","181.40","181.40","","-0.74%"
"12/17/2024","182.75","182.75","182.75","182.75","","-0.52%"
"12/16/2024","183.70","183.70","183.70","183.70","","1.77%"
"12/13/2024","180.50","180.50","180.50","180.50","","0.73%"
"12/12/2024","179.20","182.50","182.50","182.50","0.00K","-0.03%"
"12/11/2024","179.25","179.25","179.25","179.25","","0.31%"
"12/10/2024","178.70","178.70","178.70","178.70","","-1.05%"
"12/09/2024","180.60","180.60","180.60","180.60","","0.75%"
"11/01/2024","179.25","182.20","182.20","182.20","0.00K","0.11%"
"10/31/2024","179.05","179.05","179.05","179.05","","-0.53%"
"10/30/2024","180.00","180.00","180.00","180.00","0.02K","-0.50%"
"10/29/2024","180.90","180.90","180.90","180.90","","1.09%"
"10/28/2024","178.95","179.00","179.00","179.00","0.02K","-0.94%"
"10/25/2024","180.65","182.00","182.00","179.00","0.05K","-1.58%"
"10/24/2024","183.55","184.00","185.95","183.00","0.07K","-0.27%"
"10/23/2024","184.05","183.45","184.00","183.00","0.10K","-0.30%"
"10/22/2024","184.60","181.20","185.00","181.00","0.14K","0.82%"
"10/21/2024","183.10","181.80","183.10","181.05","0.06K","0.19%"
"10/18/2024","182.75","184.20","184.25","181.00","0.34K","-1.35%"
"10/17/2024","185.25","185.40","186.00","184.50","0.20K","-0.59%"
"10/16/2024","186.35","183.55","186.45","183.45","0.22K","0.68%"
"10/15/2024","185.10","186.50","186.50","183.95","0.16K","-1.15%"
"10/14/2024","187.25","187.55","189.00","187.15","0.20K","-0.90%"
"10/11/2024","188.95","189.45","190.00","188.05","0.18K","-0.13%"
"10/10/2024","189.20","189.95","190.05","188.95","0.19K","0.37%"
"10/09/2024","188.50","190.00","190.45","188.45","0.25K","-0.16%"
"10/08/2024","188.80","186.50","189.25","186.50","0.20K","0.29%"
"10/07/2024","188.25","186.50","188.95","186.50","0.12K","0.40%"
"10/04/2024","187.50","190.00","190.45","187.30","0.16K","-1.55%"
"10/03/2024","190.45","190.00","191.10","188.75","0.97K","0.16%"
"10/02/2024","190.15","187.60","190.50","187.50","0.69K","1.96%"
"10/01/2024","186.50","182.00","187.00","182.00","0.38K","2.14%"
"09/30/2024","182.60","182.00","183.25","181.50","0.10K","0.03%"
"09/27/2024","182.55","181.55","182.55","181.55","0.04K","-0.27%"
"09/26/2024","183.05","182.00","183.75","181.80","0.25K","0.58%"
"09/25/2024","182.00","181.60","182.25","181.50","0.16K","0.00%"
"09/24/2024","182.00","180.85","182.95","180.65","0.13K","0.52%"
"09/23/2024","181.05","179.65","181.65","179.60","0.32K","0.70%"
"09/20/2024","179.80","181.45","181.45","177.95","0.19K","-0.50%"
"09/19/2024","180.70","180.85","181.40","179.90","0.28K","-1.42%"
"09/18/2024","183.30","183.95","184.00","182.70","0.20K","-0.22%"
"09/17/2024","183.70","185.25","185.25","183.05","0.19K","-0.78%"
"09/16/2024","185.15","185.05","187.70","184.55","0.28K","-0.48%"
"09/13/2024","186.05","186.80","188.00","185.20","0.29K","0.95%"
"09/12/2024","184.30","185.00","188.20","184.30","0.41K","-0.27%"
"09/11/2024","184.80","184.00","185.00","182.80","0.33K","1.32%"
"09/10/2024","182.40","182.25","183.50","181.45","0.34K","-0.03%"
"09/09/2024","182.45","181.85","182.50","180.75","0.21K","0.36%"
"09/06/2024","181.80","182.00","183.00","181.75","0.11K","0.14%"
"09/05/2024","181.55","183.95","186.95","180.90","0.21K","-0.74%"
"09/04/2024","182.90","182.10","183.45","181.00","0.29K","0.44%"
"09/03/2024","182.10","180.05","182.25","177.75","0.44K","0.36%"
"09/02/2024","181.45","181.05","182.00","180.80","0.31K","0.11%"
"08/30/2024","181.25","180.75","181.85","179.60","0.28K","-0.49%"
"08/29/2024","182.15","181.30","182.45","180.80","0.24K","0.47%"
"08/28/2024","181.30","179.85","181.50","178.30","0.39K","0.78%"
"08/27/2024","179.90","178.05","180.50","174.65","0.37K","-0.33%"
"08/23/2024","180.50","180.00","181.00","179.15","0.22K","-0.47%"
"08/22/2024","181.35","180.20","183.90","180.20","0.19K","-1.55%"
"08/21/2024","184.20","182.90","184.55","182.90","0.20K","-0.83%"
"08/20/2024","185.75","184.80","187.45","184.75","0.23K","0.54%"
"08/19/2024","184.75","184.00","185.00","183.50","0.21K","-0.30%"
"08/16/2024","185.30","182.00","186.30","181.80","0.47K","1.79%"
"08/15/2024","182.05","188.15","188.15","182.00","0.73K","-3.50%"
"08/14/2024","188.65","188.05","189.05","186.70","0.28K","-0.71%"
"08/13/2024","190.00","188.80","190.95","188.00","0.17K","-0.18%"
"08/12/2024","190.35","191.50","191.95","189.00","0.10K","-1.19%"
"08/09/2024","192.65","193.05","194.95","192.50","0.27K","-0.05%"
"08/08/2024","192.75","192.70","193.05","192.15","0.38K","0.34%"
"08/07/2024","192.10","191.05","193.70","191.05","0.19K","0.18%"
"08/06/2024","191.75","191.45","192.25","190.50","0.22K","-0.16%"
"08/05/2024","192.05","190.05","193.00","188.30","0.31K","0.97%"
"08/02/2024","190.20","189.45","191.75","189.40","0.12K","-0.31%"
"08/01/2024","190.80","192.95","193.25","190.00","0.23K","-0.50%"
"07/31/2024","191.75","188.50","191.95","188.50","0.23K","1.43%"
"07/30/2024","189.05","188.45","190.00","187.95","0.20K","-0.45%"
"07/29/2024","189.90","191.00","192.50","188.20","0.30K","-1.35%"
"07/26/2024","192.50","193.50","193.95","192.30","0.17K","-0.39%"
"07/25/2024","193.25","195.75","195.75","192.80","0.19K","-1.40%"
"07/24/2024","196.00","194.55","196.00","194.05","0.21K","0.00%"
"07/23/2024","196.00","195.95","196.25","192.80","0.12K","-0.18%"
"07/22/2024","196.35","196.00","196.85","194.95","0.12K","0.80%"
"07/19/2024","194.80","191.55","197.20","191.55","0.35K","1.86%"
