"Date","Price","Open","High","Low","Vol.","Change %"
"12/12/2025","440.75","446.50","447.25","440.00","206.65K","-1.29%"
"12/11/2025","446.50","444.00","448.00","443.50","137.90K","0.51%"
"12/10/2025","444.25","447.50","448.75","443.50","149.64K","-0.84%"
"12/09/2025","448.00","443.75","449.00","443.50","178.81K","0.96%"
"12/08/2025","443.75","444.75","447.25","442.50","114.70K","-0.22%"
"12/05/2025","444.75","446.25","448.00","444.00","112.55K","-0.56%"
"12/04/2025","447.25","443.00","448.00","441.75","151.43K","0.85%"
"12/03/2025","443.50","449.25","450.00","442.75","187.59K","-1.44%"
"12/02/2025","450.00","445.00","452.25","442.25","211.53K","1.12%"
"12/01/2025","445.00","447.25","449.00","444.00","168.99K","-0.61%"
"11/28/2025","447.75","445.25","448.50","443.50","87.64K","0.62%"
"11/27/2025","445.00","445.25","445.25","445.00","","-0.06%"
"11/26/2025","445.25","437.75","446.75","437.50","310.05K","1.60%"
"11/25/2025","438.25","436.50","439.25","436.50","281.86K","0.34%"
"11/24/2025","436.75","437.75","439.25","434.50","259.74K","-0.17%"
"11/21/2025","437.50","437.50","439.00","435.25","195.24K","-0.06%"
"11/20/2025","437.75","442.00","443.25","436.75","227.07K","-0.85%"
"11/19/2025","441.50","448.50","449.25","440.50","178.33K","-1.78%"
"11/18/2025","449.50","447.75","451.75","446.25","140.86K","0.33%"
"11/17/2025","448.00","443.50","450.50","442.25","173.67K","4.13%"
"11/14/2025","430.25","441.50","442.75","429.50","411.59K","-2.55%"
"11/13/2025","441.50","434.75","442.75","434.00","400.92K","1.44%"
"11/12/2025","435.25","431.50","436.00","431.00","271.70K","0.75%"
"11/11/2025","432.00","429.00","432.75","428.50","221.85K","0.52%"
"11/10/2025","429.75","426.75","431.25","426.25","220.39K","0.59%"
"11/07/2025","427.25","428.50","430.50","426.75","186.07K","-0.35%"
"11/06/2025","428.75","434.50","434.75","428.25","228.27K","-1.49%"
"11/05/2025","435.25","430.50","436.00","428.75","201.31K","0.87%"
"11/04/2025","431.50","434.00","434.50","429.25","183.03K","-0.63%"
"11/03/2025","434.25","431.00","435.00","427.75","207.96K","0.64%"
"10/31/2025","431.50","429.25","432.25","426.50","214.31K","0.29%"
"10/30/2025","430.25","434.00","437.00","427.75","301.18K","-0.86%"
"10/29/2025","434.00","431.25","435.00","430.00","239.88K","0.46%"
"10/28/2025","432.00","428.00","436.25","427.25","378.02K","0.76%"
"10/27/2025","428.75","427.00","431.75","426.00","295.62K","1.30%"
"10/24/2025","423.25","427.25","427.50","423.00","211.85K","-1.11%"
"10/23/2025","428.00","423.00","428.50","421.00","206.57K","1.18%"
"10/22/2025","423.00","419.75","424.00","418.50","186.82K","0.77%"
"10/21/2025","419.75","423.25","424.50","418.50","181.05K","-0.83%"
"10/20/2025","423.25","422.50","424.00","419.50","179.47K","0.18%"
"10/17/2025","422.50","421.25","424.75","421.00","185.45K","0.18%"
"10/16/2025","421.75","416.75","423.50","416.25","304.26K","1.20%"
"10/15/2025","416.75","412.75","418.50","411.25","195.17K","0.91%"
"10/14/2025","413.00","410.75","413.50","409.25","192.43K","0.55%"
"10/13/2025","410.75","413.00","415.00","410.50","157.49K","-0.54%"
"10/10/2025","413.00","418.25","419.25","412.25","233.65K","-1.26%"
"10/09/2025","418.25","422.00","423.25","418.00","207.21K","-0.89%"
"10/08/2025","422.00","419.25","422.75","418.50","167.36K","0.54%"
"10/07/2025","419.75","421.50","424.50","419.00","219.83K","-0.47%"
"10/06/2025","421.75","419.00","422.50","417.25","141.86K","0.66%"
"10/03/2025","419.00","420.75","423.00","418.50","179.52K","-0.65%"
"10/02/2025","421.75","417.25","422.50","414.75","192.90K","1.26%"
"10/01/2025","416.50","415.75","419.50","410.50","285.17K","0.24%"
"09/30/2025","415.50","421.25","421.50","414.00","279.18K","-1.42%"
"09/29/2025","421.50","421.00","422.75","418.75","146.15K","-0.12%"
"09/26/2025","422.00","425.25","425.75","421.25","131.81K","-0.88%"
"09/25/2025","425.75","423.75","428.25","423.50","146.85K","0.35%"
"09/24/2025","424.25","425.00","427.50","423.50","134.26K","-0.47%"
"09/23/2025","426.25","421.75","426.50","418.75","145.93K","1.07%"
"09/22/2025","421.75","424.00","424.75","418.25","189.77K","-0.53%"
"09/19/2025","424.00","424.00","429.75","422.25","162.41K","0.06%"
"09/18/2025","423.75","426.50","428.00","423.50","113.26K","-0.70%"
"09/17/2025","426.75","428.75","431.25","425.50","146.85K","-0.64%"
"09/16/2025","429.50","423.00","431.25","423.00","178.78K","1.48%"
"09/15/2025","423.25","426.25","428.50","422.00","192.79K","6.08%"
"09/12/2025","399.00","402.50","405.25","398.50","0.04K","0.00%"
"09/11/2025","399.00","398.25","398.25","396.75","0.12K","0.44%"
"09/10/2025","397.25","401.00","401.25","395.50","0.06K","-1.00%"
"09/09/2025","401.25","402.00","403.50","398.75","0.15K","-0.43%"
"09/08/2025","403.00","398.00","403.75","394.00","0.55K","-3.59%"
"09/05/2025","418.00","420.00","424.75","417.25","166.15K","-0.42%"
"09/04/2025","419.75","418.00","421.00","414.25","153.76K","0.42%"
"09/03/2025","418.00","423.00","424.25","416.25","187.05K","-1.18%"
"09/02/2025","423.00","418.00","423.50","414.00","246.41K","1.20%"
"09/01/2025","418.00","419.50","419.50","418.00","","-0.54%"
"08/29/2025","420.25","410.00","420.50","409.75","277.56K","2.50%"
"08/28/2025","410.00","406.00","411.00","403.50","208.71K","0.99%"
"08/27/2025","406.00","409.25","410.00","405.25","204.08K","-0.85%"
"08/26/2025","409.50","412.00","414.50","408.50","266.96K","-0.67%"
"08/25/2025","412.25","413.00","416.50","411.25","195.06K","0.18%"
"08/22/2025","411.50","411.75","413.50","409.75","180.16K","-0.06%"
"08/21/2025","411.75","403.50","413.75","403.25","256.77K","1.92%"
"08/20/2025","404.00","403.50","406.00","401.25","143.81K","0.19%"
"08/19/2025","403.25","406.00","406.00","401.50","141.71K","-0.80%"
"08/18/2025","406.50","404.50","408.00","401.25","167.86K","0.31%"
"08/15/2025","405.25","397.75","405.75","397.00","202.74K","2.01%"
"08/14/2025","397.25","397.00","399.00","392.50","186.63K","0.00%"
"08/13/2025","397.25","394.00","398.50","393.50","249.12K","0.70%"
"08/12/2025","394.50","407.75","407.75","392.00","418.57K","-3.25%"
