"Date","Price","Open","High","Low","Vol.","Change %"
"12/12/2025","1,076.75","1,093.00","1,094.50","1,075.75","118.19K","-1.53%"
"12/11/2025","1,093.50","1,091.00","1,096.00","1,086.25","149.79K","0.21%"
"12/10/2025","1,091.25","1,087.50","1,093.25","1,081.50","148.75K","0.37%"
"12/09/2025","1,087.25","1,093.75","1,094.75","1,084.50","185.67K","-0.59%"
"12/08/2025","1,093.75","1,105.00","1,107.50","1,092.25","170.57K","-1.04%"
"12/05/2025","1,105.25","1,119.25","1,121.00","1,104.50","140.33K","-1.27%"
"12/04/2025","1,119.50","1,117.00","1,124.50","1,114.00","134.99K","0.34%"
"12/03/2025","1,115.75","1,125.25","1,130.75","1,115.50","127.54K","-0.80%"
"12/02/2025","1,124.75","1,126.50","1,135.75","1,123.25","134.46K","-0.29%"
"12/01/2025","1,128.00","1,140.00","1,142.25","1,127.00","117.12K","-0.86%"
"11/28/2025","1,137.75","1,131.75","1,138.75","1,129.75","38.01K","0.53%"
"11/27/2025","1,131.75","1,132.00","1,132.00","1,131.75","","0.02%"
"11/26/2025","1,131.50","1,125.50","1,135.25","1,122.75","104.78K","0.60%"
"11/25/2025","1,124.75","1,121.75","1,128.75","1,117.25","115.33K","0.13%"
"11/24/2025","1,123.25","1,128.25","1,131.00","1,116.25","109.63K","-0.16%"
"11/21/2025","1,125.00","1,122.50","1,127.50","1,113.25","123.07K","0.22%"
"11/20/2025","1,122.50","1,135.50","1,142.75","1,121.50","128.50K","-1.21%"
"11/19/2025","1,136.25","1,152.25","1,152.50","1,135.00","118.64K","-1.50%"
"11/18/2025","1,153.50","1,155.50","1,169.50","1,147.75","186.56K","-0.32%"
"11/17/2025","1,157.25","1,120.00","1,160.25","1,114.25","233.04K","4.00%"
"11/14/2025","1,112.75","1,133.00","1,138.75","1,116.00","0.03K","-1.70%"
"11/13/2025","1,132.00","1,120.25","1,135.75","1,115.50","0.15K","1.03%"
"11/12/2025","1,120.50","1,120.75","1,120.75","1,110.00","0.10K","0.65%"
"11/11/2025","1,113.25","1,110.50","1,115.00","1,106.00","0.20K","-0.25%"
"11/10/2025","1,116.00","1,106.25","1,116.00","1,106.25","0.64K","-0.09%"
